Scenario,actual_traffic_jam_prob,monte_carlo_traffic_jam_mean,monte_carlo_traffic_jam_std,monte_carlo_traffic_jam_ci_95_lower,monte_carlo_traffic_jam_ci_95_upper,actual_accident_risk_prob,monte_carlo_accident_risk_mean,monte_carlo_accident_risk_std,monte_carlo_accident_risk_ci_95_lower,monte_carlo_accident_risk_ci_95_upper
Heavy Rain,0.21714285714285714,0.21724900000000003,0.04119347034421839,0.14,0.3,0.8657142857142858,0.865966,0.033937395951958375,0.8,0.93
Temperature Extremes,0.18604651162790697,0.186295,0.03915485889388442,0.11,0.27,0.813953488372093,0.814321,0.038860506417184006,0.74,0.89
High Humidity,0.22150882825040127,0.221834,0.041357664876054114,0.14,0.3,0.9117174959871589,0.9118729999999999,0.028290667560169017,0.85,0.96
Low Visibility,0.2463768115942029,0.24650800000000003,0.043034473808796596,0.16975000000000023,0.33,0.8861283643892339,0.8862439999999999,0.031647629674274196,0.82,0.94
Strong Winds,0.2881002087682672,0.287947,0.04480240162089528,0.2,0.38,0.9018789144050104,0.901589,0.02992398835382744,0.84,0.96
